question,label,answer,,,,,
（前期）新文化运动,内容,提倡科学，反对愚昧；提倡民主，反对专制；提倡新道德，反对旧道德；提倡新文学，反对旧文学（即文学革命）。其中科学指自然科学和科学精神；民主指民主共和制度和民主、人权思想；旧道德指以三纲五常为核心的封建伦理道德（或儒家传统道德）；新道德指以个人主义为核心、自由平等的的资产阶级道德观念；文学革命包括普及白话文，提倡写实文学、通俗文学、大众文学等,,,,,
．你认为近代自然科学与人类思想进步有何关系请举例说明。,内容,主要反映了天赋人权、社会契约以及分权思想。,,,,,
“大跃进”和人民公社化运动的主要特点是什么,内容,大跃进运动和人民公社化运动是在急于求成和片面强调经济建设发展速度的思想指导下发动起来的，其主要特点或主要标志是高指标、瞎指挥、浮夸风和“共产风”。,,,,,
“理性使激情的努力”你如何评价这句话,内容,过分的理性必将导致非理性，从而走向浪漫主义，这是对理性主义的一种反动，也是对理性主义的一种补充。,,,,,
“六经”包括哪些内容,内容,《诗》、《书》、《礼》、《乐》、《易》、《春秋》。,,,,,
“农民可能充当一种极端保守的角色，也可能充当一种具有高度革命性的角色。”试结合有关史实评析这一观点。,内容,农民阶级的经济地位和所处的时代条件决定了它可能充当一种具有高度革命性的角色。以太平天国运动为例，在斗争过程中颁布的《天朝田亩制度》就突出反映了农民阶级要求废除封建土地所有制的强烈愿望，表现出了高度的革命性。作为中国历代农民战争中规模最大、人数最多、时间最长的一次农民战争，达到了农民战争的最高峰，具有打击封建主义和外国侵略者的巨大声势，集中显示了新的农民战争的特点。另一方面，由于农民阶级不是新的生产方式和新的阶级力量的代表者，所以农民小生产者就无法克服自身的狭隘、保守、自私、散漫等阶级弱点，在起义过程中又会不自觉地充当起极端保守的角色。在永安建制时就规定了爵位的世袭制。定都天京后，封建特权思想和封建等级制度更是恶性发展。洪秀全日益成为封建帝王，所谓“生杀由天子，诸官莫得违”。他们养尊处优，享乐腐化，革命进取心日益丧失。所以，建立在小生产基础之上的农民革命政权，不可能突破封建专制制度，在扮演革命者的同时注定会退回到保守者的角色。农民阶级存在的这种两面性是由其经济地位即受地主阶级压迫和小生产者的地位所决定的。,,,,,
“人生而自由，但却无往不在枷锁之中。”,内容,天赋人权、人生而自由、平等实乃天经地义，然而不合理的旧制度以及维护这一制度的专制暴君、贵族乃至僧侣却剥夺了这一神圣不可侵犯的、与生惧来的自然权利，将人们套在了枷锁之中。,,,,,
“三个代表”重要思想的主要内容及其现实意义是什么,内容,2000年2月，江泽民在广州视察时首次提出“三个代表”重要思想，即：中国共产党必须始终代表中国先进生产力的发展要求，始终代表中国先进文化的前进方向，始终代表中国最广大人民的根本利益。回答了在实行改革开放和发展社会主义市场经济条件下，建设一个什么样的党、怎样建设党这样一个重大的理论和现实问题。它是对中国共产党领导中国人民80年奋斗经验的科学总结，是对中国共产党的性质、宗旨和根本任务的新概括，是对新时期建设中国特色社会主义事业各项工作的新要求。2002年11月，中国共产党第十六次全国代表大会通过决议，将“三个代表”重要思想同马克思列宁主义、毛泽东思想和邓小平理论一道写入中国共产党党章，成为党长期坚持的指导思想，并为中国在新世纪全面建设小康社会，进而基本实现现代化目标奠定了坚实的思想理论基础。,,,,,
“文化大革命”对中国国家政治制度的严重破坏有哪些主要表现试探讨其历史教训。,意义,“文化大革命”对中国国家政治制度的严重破坏有着多方面的表现。其中对国家重大政治制度的严重破坏主要表现在：第一，“文化大革命”中建立的革命委员会是国家政治体制建设中的一次大倒退；第二，国家的根本政治制度——人民代表大会制度、中国共产党领导的多党合作和政治协商制度遭到严重破坏，全国陷入严重的政治危机和社会危机之中。,,,,,
“文化大革命”是怎样发动起来的它给党和国家带来了哪些危害,意义,1965年11月，上海《文汇报》发表了姚文元的文章《评新编历史剧〈海瑞罢官〉》，公开点名批判北京市政府负责人。这件事成为“文化大革命”发动的导火线。1966年5月和8月，中共中央政治局扩大会议和八届十一中全会分别通过了“五一六通知”和《中共中央关于无产阶级文化大革命的决定》，是“文化大革命”全面发动的标志。“文化大革命”是一场领导者错误发动、被反革命集团利用，给党和国家带来严重危害和灾难的内乱，使国家的民主与法制被肆意践踏，全国人民代表大会制度遭到严重破坏，中国共产党领导的多党合作和政治协商制度遭受摧残，同时国民经济和文化教育等社会主义事业的发展也因此而停滞或遭到破坏。,,,,,
“文艺复兴”是一场复古运动吗,内容,文艺复兴运动从表面的含义来看，是一种复兴古希腊罗马时期的哲学、文学和艺术的活动，是一种复古运动，但从其深层的含义看，它却是一场思想解放运动，是一次思想领域里的变革。这是因为，它是新兴市民阶级借复兴古代理性主义文化来反对非理性主义、神秘主义宗教文化的运动，是一场以人本主义反对神本主义的运动。,,,,,
“信仰得救”在当时的德国和欧洲意味着什么,意义,“信仰得救”，即人只要在认真研读圣经的基础之上，在灵魂深处虔诚地信仰上帝，就可以得到上帝的承认与恩典，成为无罪、得救的、永生的人。而宗教律法、宗教礼仪以及各级神职人员都是多余的，根本无需这些中介。这样一来，也就从内部摧毁了教皇或教会作为精神权威存在的传统根基，把基督徒从天主教会的禁锢下解放出来，为其反对罗马神权、争取民族独立的政治纲领提供了伸学的依据和武器。,,,,,
《1787年美国宪法》中的材料反映启蒙思想家的那些思想主张谈谈你的看法。,主张,要反映了天赋人权、社会契约以及分权思想。,,,,,
《本草纲目》,内容,明朝医药学家李时珍，写成药物学巨著《本草纲目》，对中药学的发展作出了杰出贡献。《本草纲目》记录各类药物1892种、药方一万多个，还绘制了一千多幅药物形态图，是对16世纪以前中医药学的系统总结。被誉为东方药物巨典。,,,,, 
《德意志帝国宪法》（1871年）,内容,"①联邦制国家帝国政府掌握了军事、外交等大权，各邦则保留了一些自治权。②皇帝掌握国家大权是国家元首和军队统帅，
有权任免官员、创制法律、召集和解散议会和决定对外政策等③宰相（内阁首脑）只对皇帝负责，在内阁中拥有绝对权力④议会由联邦议会和帝国国会组成
联邦议会由各邦君主任命代表组成；帝国议会由成年男子选举产生，作用很小。",,,,,
《德意志帝国宪法》（1871年）,内容,"①议会软弱,皇权强大。→民主立宪是虚,君主专制是实②军队在国家政治生活中占据主导，军国主义色彩浓厚",,,,,
《共产党宣言》中的哪些基本观点给你留下了深刻的印象为什么,内容,《共产党宣言》主要从资本主义社会矛盾、社会历史发展的基本规律、无产阶级政党、无产阶级使命等多方面进行论述，可以选择其中的某一内容加以论述。在表达主观认识的时候，要注意史论结合。,,,,,
《海国图志》,内容,魏源在《四洲志》基础上，编撰出《海国图志》。这是当时介绍西方历史地理最详实的专著。魏源在该书序言中，阐述了师夷长技以制夷的思想。,,,,,
《汉书》中记载了这样的说法：“今法律贱商人，商人已富贵矣；尊农夫，农夫已贫贱矣。”为什么回出现这样的情形呢,内容,译文：“现在的法律贬低商人，但是，商人已经非常富贵了；现在的法律抬高农民，但是，农民已经极其贫困了。”原因：（1）中国古代统治者推行“重农抑商”的政策，造成商人的社会地位非常底下，但是，随着商品经济的发展，商人不可避免地致富了，这是历史的必然；（2）长期以来，中国社会依附于土地的是地主阶级和农民阶级，统治阶级是地主阶级的代表，而地主是靠剥削农民来生存的，农民虽然名义上政治地位被“抬高”，事实上处于社会的低层，极其贫困。,,,,,
"《河南程氏遗书》卷二上载：“（二程）昔见周茂叔（周敦颐），每令寻颜子、仲尼乐处，所乐何事。”为什么理学家特别重视“寻找孔颜之乐”
参考答案：理学家认为天理的核心就是仁，修养的最高境界就是仁的境界。仁者不但能化物于无形，而且能获得高度的主体自由和极大的精神满足，这应当就是所谓“孔颜之乐”。而传统儒学的核心价值观就是仁，这体现在传统儒学家的言行中。
",内容,理学家认为天理的核心就是仁，修养的最高境界就是仁的境界。仁者不但能化物于无形，而且能获得高度的主体自由和极大的精神满足，这应当就是所谓“孔颜之乐”。而传统儒学的核心价值观就是仁，这体现在传统儒学家的言行中。,,,,,
《后汉书》记载，汉明帝曾经亲自到太学讲学，和诸位儒生就儒家经典的内容相互辩论，前来太学门前围观听讲的人不可胜数。汉明帝这样做，说明了什么,内容,说明了儒学地位的提升。说明了汉王朝最高统治者对儒学和教育文化的重视。,,,,,
《黄帝内经》,意义,战国问世、西汉编定的《黄帝内经》是中医学的奠基之作。,,,,,
《九章算术》,意义,约成书于东汉的《九章算术》，采用了当时世界上最先进的十进位值制记数法，汇集了许多算术命题。这些命题的解法采用了当时世界上最先进的运算方法，是当时世界上最先进的应用数学著作。它的问世，标志着中国古代以计算为中心的数学形成了完整的体系，在世界数学史上占有重要地位。,,,,,
《旧唐书?文苑传中?元万顷传》：“朝廷疑议及百司表疏，皆密令万顷等参决，以分宰相之权。时人谓之‘北门学士’。”怎样理解这里说到的“分宰相之权”,内容,这里所谓“分宰相之权”，实际上是专制朝代帝王通常的政治行为。皇帝一旦掌握最高权力，就往往牢牢地把握住最高决策权，即使对于总理国家政务的高级助手，也不愿意分权。这就是《太平御览》卷九一引华峤《后汉书》中所说的“总揽威权，柄不借下”。这也是符合法家“权势不可以借人”（《韩非子?内储说下》）“能独断者故可以为天下王”（《韩非子?外储说上》）的政治理论原则的。,,,,,
《乐记》说：“凡音者，生人心者也。情动与中，故形于声；声成文，谓之音。是故治世之音安，以乐其政和；乱世之音怨，以怒起政乖；亡国之音哀，以思其民困。声音之道，与政通矣。”认为音乐和政治是相通的。你同意这样的说法吗,内容,同意。艺术作为一种上层建筑形式，必然会对当时的社会存在有所反映，同时又反作用于包括政治生活在内的社会生活。在这个角度来看上述说法是成立的。（社会存在决定社会意识）教师可举例说明。例如：周代社会的政治生活中，“礼”和“乐”相结合，成为政治规范的象征。“乐”，也是政治文化构成的一部分。,,,,,
"《离骚》写道：“余既兹兰之九畹兮，又树蕙之百亩；畦留夷与揭车兮，杂度蘅与方芷；冀枝叶之峻茂兮，愿竢时乎吾将刈；虽萎绝其亦何伤兮，哀众芳之芜秽。”屈原所说的香草、众芳，有什么象征意义
",内容,屈原所说的香草和众芳，象征具有高尚品德的君子，有益社会的贤才。这段文字，姜亮夫的译文是：“我既种了九块地的兰蕊，又种了百亩的芳蕙。也种了五十亩的留夷与揭车，连马蹄香与白芷我也为你收集。”“我希望的是枝枝叶叶长得茂盛而美丽！等到了成熟之时我将量材采取。虽把我自己弄病倒了，又有甚么关系呢我最哀痛的是这些众芳枯萎污秽！”（姜亮夫：《屈原赋今译》，北京出版社1987年版，第9页至第10页）袁梅的译文是：“我已栽种了春兰九畹，又种植了香蕙百亩。我一畦畦地栽种那留夷、揭车，又杂植那杜蘅与芳芷无数。”“希望它们枝叶繁茂，长得高大，待其长成之时，我将收获而归。虽则枯萎零落又有何妨，哀伤的是众芳竟然荒芜杂秽。”（袁梅：《屈原赋译注》，齐鲁书社1984年版，第5页至第6页）,,,,,
《论十大关系》在中国社会主义建设道路方面进行了哪些重要探索,背景,它在总结中国经济建设经验并以苏联经验为鉴戒的基础上，讨论了社会主义建设过程中重工业和轻工业、农业的关系，沿海工业和内地工业的关系，经济建设和国防建设的关系等内容，提出要更多地发展农业、轻工业，更多地利用和发展沿海工业，大力从事经济建设。从而提出了开辟一条中国工业化道路的重大问题。,,,,,
《论语?八佾》记录了孔子的话：“周监于二代，郁郁乎文哉！吾从周。”怎样理解孔子这句话有人根据这句话就判定孔子是一个主张历史倒退的人，你同意这种看法吗,内容,孔子这句话的意思是：周朝的礼仪制度借鉴于夏商二代，是多么丰富多彩呀！我遵从周朝的制度。孔子所欣赏的是西周的礼乐制度，并非要全面退回西周。不过，孔子思想的怀旧色彩，也使得当时许多儒学人士对新的社会现象和新的文化因素本能地表现出抵触的态度。,,,,,
《权利法案》,意义,用明确法律条文，限制国王权力，保护臣民自由，扩大议会的权力权利,,,,,
《权利法案》的制定,背景,1688年光荣革命，使国王的权力来自议会。,,,,,
《权利法案》影响,意义,使国家实际权力逐渐转移到议会手里，确立了法律至上、议会权力高于王权、司法独立于王权的原则，奠定了君主立宪制的法律基础。,,,,,
《伤寒杂病论》,意义,东汉末年，张仲景写出了中医专著《伤寒杂病论》，创造性地提出辩证施治的方法，奠定了后世中医临床学的理沦基础，被后世医家誉为万世宝典。,,,,,
《诗经》,内容,《诗经》收录了西周至春秋中期的三百多首诗歌，分为风、雅、颂三部分。《诗经》的诗，以四言为主，多重章叠句，语言丰富，内容古朴，现实感强。,,,,,
《诗经》,意义,春秋末年，中国出现了第—部诗歌总集《诗经》。《诗经》经孔子整理编定，奠定了中国古典文学现实主义的基础，被后世奉为儒家经典。,,,,,
《十二铜表法》的出现在当时有何进步作用？,意义,(1)《十二铜表法》的颁布，标志着罗马成文法的诞生，法律条文比较明晰，审判、量刑都有法可依，它在一定程度上限制了贵族的特权，保护了平民的利益。,,,,,
《授时历》,意义,元朝时，郭守敬编订的《授时历》，集前代各家历法优点之大成，是我国古代最优秀的历法。《授时历》定回归年长度为365．2425日，这与地球绕太阳一周的时间相差无几，与今天世界通用的公历即格里高利历基本相同。1281年《授日十历》颁布推行，这比现行公历的颁行早了三百年。《授时历》取敬授民时之意，对指导农业生产大有帮助。,,,,,
《四洲志》与林则徐,内容,《四洲志》介绍世界三十余国的地理、历史和政情，是近代中国第一部系统的世界地理志。林则徐成为近代中国开眼看世界的第一人。,,,,,
